GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB090123,-54.736,117.928,-44.296,93.048,4.880478e-06 ,1.430902358164393
GRB090118,0.0,15.24,0.82,14.344,9.728480e-07 ,1.8538308982155205
GRB090113,-0.92,9.952,-0.092,9.004,1.346417e-06 ,1.4650753794829114
GRB090111,-2.88,26.036,-1.632,23.628,8.208774e-07 ,0.8908816027707602
GRB090107A,0.304,12.896,0.496,12.58,3.768475e-07 ,1.5414875271930315
GRB090102,-14.256,22.752,-11.696,16.624,1.396462e-05 ,1.6911803013750335
GRB081230,-14.432,62.428,-0.904,59.788,1.219664e-06 ,1.153293510406014
GRB081228,-0.128,2.872,-0.128,2.872,1.269349e-07 ,1.1938228707217835
GRB081226A,-0.052,0.452,-0.028,0.408,1.700829e-07 ,1.8644901406470813
GRB081222,-1.328,63.672,0.672,33.672,9.784606e-06 ,1.5429079395237335
GRB081221,-0.284,112.316,4.616,38.524,2.988191e-05 ,1.2102083061797482
GRB081211B,0.0,70.4,3.2,67.2,7.103670e-07 ,1.542445870951372
GRB081211A,-1.08,2.752,-0.892,2.532,1.631832e-07 ,1.080338843144365
GRB081210,-12.868,142.98,-8.776,137.132,3.548604e-06 ,1.6626848152649587
GRB081203B,0.0,177.6,8.0,169.6,4.420450e-06 ,1.3369341449153176
GRB081203A,-68.88,405.12,-14.88,208.12,1.451872e-05 ,1.5457526289512191
GRB081128,-68.98,62.66,-48.804,53.512,3.685496e-06 ,1.1421417287486433
GRB081127,-10.712,8.536,-9.22,8.08,5.398718e-07 ,1.1379937084935339
GRB081126,-21.528,56.912,-17.784,39.864,7.401974e-06 ,1.8073401181833686
GRB081121,-5.304,14.456,-3.432,14.088,1.182952e-05 ,2.0665689310586868
GRB081118,9.884,79.836,20.28,73.684,1.542296e-06 ,1.0070941595750342
GRB081109A,-80.752,299.776,-36.256,185.232,6.651578e-06 ,1.3767023448509963
GRB081105A,0.0,9.6,0.0,9.6,,
GRB081104,-23.696,57.304,-14.696,49.304,2.947101e-06 ,1.1263412497812433
GRB081102,-20.076,45.812,-17.34,32.98,3.663022e-06 ,1.35338035258777
GRB081101,0.0,0.22,0.016,0.196,1.695090e-07 ,2.2386706005532977
GRB081029,-36.256,270.244,-24.064,251.04,4.024765e-06 ,1.7043543781283073
GRB081028A,29.344,397.088,50.648,335.072,6.001140e-06 ,1.2230100099291656
